BP/OIL_RESERVES_ARG,Proved Oil Reserves - Argentina
BP/OIL_RESERVES_MEX,Proved Oil Reserves - Mexico
BP/OIL_RESERVES_PER,Proved Oil Reserves - Peru
BP/OIL_RESERVES_NOAM,Proved Oil Reserves - Total North America
BP/OIL_RESERVES_ECU,Proved Oil Reserves - Ecuador
BP/OIL_RESERVES_USA,Proved Oil Reserves - USA
BP/OIL_RESERVES_BRA,Proved Oil Reserves - Brazil
BP/OIL_RESERVES_TTO,Proved Oil Reserves - Trinidad & Tobago
BP/OIL_RESERVES_CAN,Proved Oil Reserves - Canada
BP/OIL_RESERVES_COL,Proved Oil Reserves - Colombia
BP/OIL_RESERVES_OSCA,Proved Oil Reserves - Other S. & Cent. America
BP/OIL_RESERVES_CESA,Proved Oil Reserves - Total S. & Cent. America
BP/OIL_RESERVES_KAZ,Proved Oil Reserves - Kazakhstan
BP/OIL_RESERVES_DNK,Proved Oil Reserves - Denmark
BP/OIL_RESERVES_VEN,Proved Oil Reserves - Venezuela
BP/OIL_RESERVES_AZE,Proved Oil Reserves - Azerbaijan
BP/OIL_RESERVES_NOR,Proved Oil Reserves - Norway
BP/OIL_RESERVES_ROU,Proved Oil Reserves - Romania
BP/OIL_RESERVES_RUS,Proved Oil Reserves - Russian Federation
BP/OIL_RESERVES_ITA,Proved Oil Reserves - Italy
BP/OIL_RESERVES_TKM,Proved Oil Reserves - Turkmenistan
BP/OIL_RESERVES_GBR,Proved Oil Reserves - United Kingdom
BP/OIL_RESERVES_UZB,Proved Oil Reserves - Uzbekistan
BP/OIL_RESERVES_IRN,Proved Oil Reserves - Iran
BP/OIL_RESERVES_OMN,Proved Oil Reserves - Oman
BP/OIL_RESERVES_KWT,Proved Oil Reserves - Kuwait
BP/OIL_RESERVES_IRQ,Proved Oil Reserves - Iraq
BP/OIL_RESERVES_OEUE,Proved Oil Reserves - Other Europe & Eurasia
BP/OIL_RESERVES_TEUE,Proved Oil Reserves - Total Europe & Eurasia
BP/OIL_RESERVES_QAT,Proved Oil Reserves - Qatar
BP/OIL_RESERVES_SAU,Proved Oil Reserves - Saudi Arabia
BP/OIL_RESERVES_SYR,Proved Oil Reserves - Syria
BP/OIL_RESERVES_ARE,Proved Oil Reserves - United Arab Emirates
BP/OIL_RESERVES_YEM,Proved Oil Reserves - Yemen
BP/OIL_RESERVES_MIDE,Proved Oil Reserves - Total Middle East
BP/OIL_RESERVES_OMDE,Proved Oil Reserves - Other Middle East
BP/OIL_RESERVES_DZA,Proved Oil Reserves - Algeria
BP/OIL_RESERVES_AGO,Proved Oil Reserves - Angola
BP/OIL_RESERVES_TCD,Proved Oil Reserves - Chad
BP/OIL_RESERVES_EGY,Proved Oil Reserves - Egypt
BP/OIL_RESERVES_COG,Proved Oil Reserves - Republic of Congo
BP/OIL_RESERVES_GNQ,Proved Oil Reserves - Equatorial Guinea
BP/OIL_RESERVES_GAB,Proved Oil Reserves - Gabon
BP/OIL_RESERVES_NGA,Proved Oil Reserves - Nigeria
BP/OIL_RESERVES_SSUD,Proved Oil Reserves - South Sudan
BP/OIL_RESERVES_LBY,Proved Oil Reserves - Libya
BP/OIL_RESERVES_TUN,Proved Oil Reserves - Tunisia
BP/OIL_RESERVES_SDN,Proved Oil Reserves - Sudan
BP/OIL_RESERVES_OAFR,Proved Oil Reserves - Other Africa
BP/OIL_RESERVES_AUS,Proved Oil Reserves - Australia
BP/OIL_RESERVES_TAFR,Proved Oil Reserves - Total Africa
BP/OIL_RESERVES_BRN,Proved Oil Reserves - Brunei
BP/OIL_RESERVES_CHN,Proved Oil Reserves - China
BP/OIL_RESERVES_IND,Proved Oil Reserves - India
BP/OIL_RESERVES_THA,Proved Oil Reserves - Thailand
BP/OIL_RESERVES_IDN,Proved Oil Reserves - Indonesia
BP/OIL_RESERVES_MYS,Proved Oil Reserves - Malaysia
BP/OIL_RESERVES_VNM,Proved Oil Reserves - Vietnam
BP/OIL_RESERVES_OASP,Proved Oil Reserves - Other Asia Pacific
BP/OIL_RESERVES_WRLD,Proved Oil Reserves - Total World
BP/OIL_RESERVES_TASP,Proved Oil Reserves - Total Asia Pacific
BP/GAS_RESERVES_CAN,Proved Natural Gas Reserves - Canada
BP/GAS_RESERVES_USA,Proved Natural Gas Reserves - USA
