LSE/DAILY_TRADES,Daily Order Book Trading Analysis
LSE/OPM,"1PM share price (OPM), Currency GBX"
LSE/SPA,"1SPATIAL share price (SPA), Currency GBX"
LSE/RGO,Mxc Capital Plc (RGO)
LSE/C21,"21ST CENT TECH share price (C21), Currency GBX"
LSE/247,VELOX3 share price (VLOX) (247)
LSE/TTR,"32RED share price (TTR), Currency GBX"
LSE/III,"3I GRP. share price (III), Currency GBX"
LSE/3LEG,"3LEGS RESOURCES share price (3LEG), Currency GBX"
LSE/FOUR,"4IMPRINT GRP. share price (FOUR), Currency GBX"
LSE/SIXH,"600 GRP. share price (SIXH), Currency GBX"
LSE/888,"888 HLDGS share price (888), Currency GBX"
LSE/ASBE,"A.B.ENGINEERING share price (ASBE), Currency GBX"
LSE/ABF,"A.B.FOOD share price (ABF), Currency GBX"
LSE/ABDP,"AB DYNAMICS share price (ABDP), Currency GBX"
LSE/ABBY,"ABBEY share price (ABBY), Currency GBX"
LSE/ABC,"ABCAM share price (ABC), Currency GBX"
LSE/ADN,"ABDN.ASSET.MAN. share price (ADN), Currency GBX"
LSE/ACL,"ACAL share price (ACL), Currency GBX"
LSE/ACC,"ACC.INT. share price (ACC), Currency GBX"
LSE/ACSO,"ACCESSO TECH share price (ACSO), Currency GBX"
LSE/AXS,"ACCSYS TECH share price (AXS), Currency GBX"
LSE/ACM,Accumuli Plc (ACM)
LSE/ACMG,Acm Shipping Group Plc (ACMG)
LSE/ACO,"VORDERE share price (VOR), Currency GBX"
LSE/AEG,"ACTIVE ENERGY share price (AEG), Currency GBX"
LSE/ADA,"ADAMS share price (ADA), Currency EUR"
LSE/ADT,"ADEPT TELECOM share price (ADT), Currency GBX"
LSE/ADM,"ADMIRAL GRP share price (ADM), Currency GBX"
LSE/ASW,Advanced Computer Software Grp Plc (ASW)
LSE/AMS,"ADVANCED MED. share price (AMS), Currency GBX"
LSE/AVO,"ADVANCED ONCO share price (AVO), Currency GBX"
LSE/AFN,"ADVFN share price (AFN), Currency GBX"
LSE/AEC,"AEC EDUC. share price (AEC), Currency GBX"
LSE/AEO,"AEOREMA COMM. share price (AEO), Currency GBX"
LSE/AFC,"AFC ENERGY share price (AFC), Currency GBX"
LSE/AFR,Afren Plc (AFR)
LSE/ABG,ACACIA MIN share price (ACA) (ABG)
LSE/AFCR,VAST RES share price (VAST) (AFCR)
LSE/ACU,African Copper Plc (ACU)
LSE/AFE,African Eagle Resources Plc (AFE)
LSE/AGA,Aga Rangemaster Group Plc (AGA)
LSE/AGK,"AGGREKO share price (AGK), Currency GBX"
LSE/AGTA,"AGRITERRA LD share price (AGTA), Currency GBX"
LSE/ASAP,Aimshell Acquisitions Plc (ASAP)
LSE/AIP,AIR PARTNER share price (AIR) (AIP)
LSE/AIEA,"AIREA share price (AIEA), Currency GBX"
LSE/AKR,"AKERS BIO share price (AKR), Currency GBX"
LSE/ANH,MEDICLINIC share price (MDC) (ANH)
LSE/ALBA,"ALBA MIN share price (ALBA), Currency GBX"
LSE/ABM,Albemarle & Bond Holdings Plc (ABM)
LSE/ALO,"ALECTO MIN share price (ALO), Currency GBX"
LSE/ALNT,ALENT PLC (ALNT)
LSE/ADI,Alexander David Investments Plc (ADI)
LSE/AXM,"ALEXANDER MIN share price (AXM), Currency GBX"
LSE/ALK,ALKANE ENERGY PLC (ALK)
LSE/AAA,"ALL ASIA share price (AAA), Currency GBX"
LSE/ALLG,"ALL LEISURE share price (ALLG), Currency GBX"
LSE/AGY,"ALLERGY THERA. share price (AGY), Currency GBX"
LSE/APH,"ALLIANCE PHARMA share price (APH), Currency GBX"
LSE/ALL,Allocate Software Plc (ALL)
LSE/ARGP,"ALPHA RETURNS share price (ARGP), Currency GBX"
LSE/ALR,Alternative Energy Limited (ALR)
LSE/ALT,"ALTITUDE share price (ALT), Currency GBX"
LSE/ANR,"ALTONA share price (ANR), Currency GBX"
LSE/ALU,"ALUMASC GROUP share price (ALU), Currency GBX"
LSE/AMA,"AMARA MING share price (AMA), Currency GBX"
LSE/AMEC,Amec Plc (AMEC)
LSE/AMED,"AMEDEO RES share price (AMED), Currency GBX"
LSE/AMER,"AMERISUR share price (AMER), Currency GBX"
LSE/AFS,"AMIAD WATER share price (AFS), Currency GBX"
LSE/AEX,"AMINEX share price (AEX), Currency GBX"
LSE/AMO,"AMINO TECH share price (AMO), Currency GBX"
LSE/AML,AMLIN share price (AML) (AML)
LSE/AMP,"AMPHION share price (AMP), Currency GBX"
LSE/AMC,"AMUR MINERALS share price (AMC), Currency GBX"
LSE/AEN,"PHOENIX GLOBAL share price (PGR), Currency GBX"
LSE/AND,Andor Technology Plc (AND)
LSE/ASY,"ANDREWS SYKES share price (ASY), Currency GBX"
LSE/AGL,"ANGLE share price (AGL), Currency GBX"
LSE/AYM,"ANGLESEY MINING share price (AYM), Currency GBX"
LSE/AAL,"ANGLO AMERICAN share price (AAL), Currency GBX"
LSE/AAZ,"ANGLO ASIAN share price (AAZ), Currency GBX"
LSE/APF,"ANGLO PACIFIC share price (APF), Currency GBX"
LSE/AEP,"ANGLO-EASTERN share price (AEP), Currency GBX"
LSE/ANCR,"ANIMALCARE GRP share price (ANCR), Currency GBX"
LSE/AIE,ANITE PLC (AIE)
LSE/ANP,"ANPARIO share price (ANP), Currency GBX"
LSE/ANTO,"ANTOFAGASTA share price (ANTO), Currency GBX"
LSE/AOR,"AORTECH INTL share price (AOR), Currency GBX"
LSE/APC,"APC TECHNOLOGY share price (APC), Currency GBX"
LSE/API,Api Group Plc (API)
LSE/AGM,"APPLIED GRAPH. share price (AGM), Currency GBX"
LSE/APR,APR ENERGY share price (APR) (APR)
LSE/AQP,"AQUARIUS PLAT. share price (AQP), Currency GBX"
LSE/ARBB,"ARBUTHNOT share price (ARBB), Currency GBX"
