SSE/217A,21VIANET STOCK WKN A1H9DT | ISIN US90138A1034 (217A) - Stuttgart
SSE/E4Y,4energy Invest S.a. Actions Nom. (E4Y) - Stuttgart
SSE/FWC,1-800-FLOWERS.COM STOCK WKN 924904 | ISIN US68243Q1067 (FWC) - Stuttgart
SSE/HWHG,TATA STEEL GDR STOCK WKN A0X9H1 | ISIN US87656Y4061 (HWHG) - Stuttgart
SSE/ER8,First Potash Corp. (ER8) - Stuttgart
SSE/FBI,FIRST BAUXITE STOCK WKN A0RDWS | ISIN CA31932K1030 (FBI) - Stuttgart
SSE/SXL,1ST RED STOCK WKN 605500 | ISIN DE0006055007 (SXL) - Stuttgart
SSE/SIS,SILICON SENSOR STOCK WKN 720190 | ISIN DE0007201907 (SIS) - Stuttgart
SSE/FSI,FIRST SHANGHAI INVESTMENTS STOCK WKN 885614 | ISIN HK0227001168 (FSI) - Stuttgart
SSE/OLWN,FIRST BANCORP STOCK WKN A1C9RC | ISIN PR3186727065 (OLWN) - Stuttgart
SSE/FTP,FIRST TRACTOR STOCK WKN A0M4XZ | ISIN CNE100000320 (FTP) - Stuttgart
SSE/22N,22nd Century Group Inc. (22N) - Stuttgart
SSE/2GB,2G ENERGY STOCK WKN A0HL8N | ISIN DE000A0HL8N9 (2GB) - Stuttgart
SSE/SYV,3D SYSTEMS STOCK WKN 888346 | ISIN US88554D2053 (SYV) - Stuttgart
SSE/LC9,"360 VOX STOCK
WKN A1JMKJ | ISIN CA8855781040 (LC9) - Stuttgart"
SSE/IGQ5,3I GROUP STOCK WKN A0MU9Q | ISIN GB00B1YW4409 (IGQ5) - Stuttgart
SSE/N3L,"3LEGS RESOURCES STOCK
WKN A1JBQ6 | ISIN IM00B52P5P72 (N3L) - Stuttgart"
SSE/MMM,3M STOCK WKN 851745 | ISIN US88579Y1010 (MMM) - Stuttgart
SSE/PSD,3POWER ENERGY | WKN A1H8Y4 | ISIN US88580V1044 (PSD) - Stuttgart
SSE/UUU,3U TELECOM STOCK WKN 516790 | ISIN DE0005167902 (UUU) - Stuttgart
SSE/3W9,3W POWER (3W9) - Stuttgart
SSE/VSC,4SC | WKN 575381 | ISIN DE0005753818 (VSC) - Stuttgart
SSE/IWQ,51JOBS STOCK WKN A0DJ5H | ISIN US3168271043 (IWQ) - Stuttgart
SSE/IMW,4imprint Group Plc. (IMW) - Stuttgart
SSE/EMB,5N PLUS STOCK WKN A0NAH2 | ISIN CA33833X1015 (EMB) - Stuttgart
SSE/FFH,FIFTH THIRD BANCORP STOCK WKN 875029 | ISIN US3167731005 (FFH) - Stuttgart
SSE/T3T,SEVEN PRINCIPLES STOCK | WKN 594154 | ISIN DE0005941546 (T3T) - Stuttgart
SSE/58QA,58.com Inc. (58QA) - Stuttgart
SSE/C8V,888 HOLDINGS STOCK WKN A0F640 | ISIN GI000A0F6407 (C8V) - Stuttgart
SSE/EGT,8X8 STOCK WKN 907912 | ISIN US2829141009 (EGT) - Stuttgart
SSE/7DM1,7DAYS MUSIC ENT 7DAYS MUSIC ENTERTAINMENT K ORD SHS STOCK | WKN A1EWXW | ISIN DE000A1EWXW8 (7DM1) - Xetra
SSE/AFO1,ASSOCIATED BRITISH FOODS STOCK WKN 920876 | ISIN GB0006731235 (AFO1) - Stuttgart
SSE/AJL1,AJ PLAST STOCK WKN 136173 | ISIN TH0214010Z15 (AJL1) - Stuttgart
SSE/AACA,AALBERTS INDUSTRIES STOCK WKN A0MQ1F | ISIN NL0000852564 (AACA) - Stuttgart
SSE/EAM,AEM STOCK WKN 915445 | ISIN IT0001233417 (EAM) - Stuttgart
SSE/ARL,AAREAL BANK STOCK WKN 540811 | ISIN DE0005408116 (ARL) - Stuttgart
SSE/AAQ,AAP IMPLANTATE STOCK WKN 506660 | ISIN DE0005066609 (AAQ) - Stuttgart
SSE/O3X2,AAN VENTURES STOCK WKN A1JXUS | ISIN CA00035U1021 (O3X2) - Stuttgart
SSE/9AHN,AAPICO HITECH STOCK WKN 121228 | ISIN TH0688010R10 (9AHN) - Stuttgart
SSE/ATQP,Aastrom Biosciences Inc. (ATQP) - Stuttgart
SSE/JPH,AB EFFECTENBETEILIGUNGEN STOCK WKN 919214 | ISIN AT0000824206 (JPH) - Stuttgart
SSE/A8D,AB SCIENCE STOCK WKN A1CXBG | ISIN FR0010557264 (A8D) - Stuttgart
SSE/AXS,Abaxis Inc. (AXS) - Stuttgart
SSE/ABJA,ABB LTD. STOCK WKN 675089 | ISIN US0003752047 (ABJA) - Stuttgart
SSE/ABJ,ABB STOCK WKN 919730 | ISIN CH0012221716 (ABJ) - Stuttgart
SSE/4AB,ABBVIE STOCK WKN A1J84E | ISIN US00287Y1091 (4AB) - Stuttgart
SSE/AML,ABCOURT MINES STOCK WKN 862198 | ISIN CA00288E3005 (AML) - Stuttgart
SSE/ABL,ABBOTT LABORATORIES STOCK WKN 850103 | ISIN US0028241000 (ABL) - Stuttgart
SSE/9BA,Abc Arbitrage S.a. Actions Au Porteur Eo (9BA) - Stuttgart
SSE/AYO,ABENGOA STOCK WKN 904239 | ISIN ES0105200416 (AYO) - Stuttgart
SSE/AYOE,Abengoa S.a. Acc. Port.b (adrs) 5/eo (AYOE) - Stuttgart
SSE/AYO2,ABENGOA STOCK WKN A1JSBM | ISIN ES0105200002 (AYO2) - Stuttgart
SSE/AFT,ABERCROMBIE & FITCH STOCK WKN 903016 | ISIN US0028962076 (AFT) - Stuttgart
SSE/324,ABERDEEN ASSET MANAGEMENT STOCK WKN 899502 | ISIN GB0000031285 (324) - Stuttgart
SSE/4AY,ABLYNX NV STOCK WKN A0M7H2 | ISIN BE0003877942 (4AY) - Stuttgart
SSE/AXO,ABRAXAS PETROLEUM STOCK WKN 888102 | ISIN US0038301067 (AXO) - Stuttgart
SSE/AUC,ABERTIS INFRAESTRUCTURAS STOCK WKN 872392 | ISIN ES0111845014 (AUC) - Stuttgart
SSE/AZG2,ACACIA RESEARCH STOCK WKN 164631 | ISIN US0038813079 (AZG2) - Stuttgart
SSE/FRTB,ACANDOFRONTEC STOCK WKN 896937 | ISIN SE0000105116 (FRTB) - Stuttgart
SSE/PC3,Accelrys Inc. (PC3) - Stuttgart
SSE/AO1B,ACCELL GROUP STOCK WKN A1JADL | ISIN NL0009767532 (AO1B) - Stuttgart
SSE/CSA,ACCENTURE STOCK WKN A0YAQA | ISIN IE00B4BNMY34 (CSA) - Stuttgart
SSE/AJ3,ACCIONA STOCK WKN 865629 | ISIN ES0125220311 (AJ3) - Stuttgart
SSE/0A3,Acceleron Pharma Inc. (0A3) - Stuttgart
SSE/ACR,ACCOR STOCK WKN 860206 | ISIN FR0000120404 (ACR) - Stuttgart
SSE/XEJ,Accuray Inc. (XEJ) - Stuttgart
SSE/ACV,ACE AVIATION HLDG COM NPV STOCK WKN A1JXQ9 | ISIN CA00440P4096 (ACV) - Frankfurt
SSE/4AH1,ACE HARDWARE INDONESIA STOCK WKN A1J7PD | ISIN ID1000125503 (4AH1) - Stuttgart
SSE/AEX,Ace Ltd. (AEX) - Stuttgart
SSE/ACE1,ACERINOX STOCK WKN A0B7GP | ISIN ES0132105018 (ACE1) - Stuttgart
SSE/AC5G,ACER GDR STOCK WKN 552863 | ISIN US0044342055 (AC5G) - Stuttgart
SSE/DCA,ACEA STOCK WKN 924293 | ISIN IT0001207098 (DCA) - Stuttgart
SSE/AZJ,Aceto Corp. (AZJ) - Stuttgart
SSE/R5X,Acelrx Pharmaceuticals Inc. (R5X) - Stuttgart
SSE/ADA,ACHILLION PHARMACEUTICALS STOCK WKN A0LCU8 | ISIN US00448Q2012 (ADA) - Stuttgart
SSE/S3H,ACINO | ISIN CH0021190902 (S3H) - Stuttgart
SSE/B3K,ACKERMANS & VAN HAAREN STOCK WKN 869057 | ISIN BE0003764785 (B3K) - Stuttgart
SSE/ASU,ACM SHIPPING GROUP (ASU) - Stuttgart
SSE/AAX,Acma Ltd. (AAX) - Stuttgart
SSE/CDG,Acorda Therapeutics Inc. (CDG) - Stuttgart
SSE/FEM,ACORN INTERNATIONAL STOCK | WKN A0MQYA | ISIN US0048541058 (FEM) - Stuttgart
SSE/OCI1,ACS STOCK WKN A0CBA2 | ISIN ES0167050915 (OCI1) - Stuttgart
SSE/A82,Act Aurora Contr.technol.corp. (A82) - Stuttgart
SSE/A6E,ACTA S.P.A. | WKN A0HFXS | ISIN IT0003891444 (A6E) - Frankfurt
SSE/A60,Actavis Plc. (A60) - Stuttgart
SSE/AC3A,ACTIVE POWER STOCK WKN A1KA54 | ISIN US00504W3088 (AC3A) - Stuttgart
SSE/ACT,ACTELION STOCK WKN 936767 | ISIN CH0010532478 (ACT) - Stuttgart
SSE/IFS,ACTION PRESS STOCK WKN 609710 | ISIN DE0006097108 (IFS) - Stuttgart
SSE/A3C,Acteos S.a. Actions Port. Eo (A3C) - Stuttgart
SSE/A8S,ACTIONS SEMICONDUCTOR STOCK WKN A0HG5W | ISIN US00507E1073 (A8S) - Stuttgart
SSE/NXI,Activa Resources Ag Inhaber-aktien (NXI) - Stuttgart
SSE/79A,Activecare Inc. (79A) - Stuttgart
SSE/BTPC,ACTIVE BIOTECH STOCK WKN A0BLFX | ISIN SE0001137985 (BTPC) - Stuttgart
SSE/AIY,ACTIVISION BLIZZARD STOCK WKN A0Q4K4 | ISIN US00507V1098 (AIY) - Stuttgart
SSE/HD4A,Acura Pharmaceuticals Inc. (HD4A) - Stuttgart
SSE/A9NN,"ADANAC MOLYBDENUM STOCK
WKN A1JH46 | ISIN CA00652E5065 (A9NN) - Stuttgart"
SSE/APM,"Ad Pepper Media Intl N.v. Aandelen Aan Toonder Eo 0,05 (APM) - Stuttgart"
SSE/XIM,ACXIOM STOCK WKN 884778 | ISIN US0051251090 (XIM) - Stuttgart
SSE/A64,ADARO ENERGY STOCK WKN A0Q51G | ISIN ID1000111305 (A64) - Stuttgart
SSE/ADC,ADCAPITAL STOCK WKN 521450 | ISIN DE0005214506 (ADC) - Stuttgart
SSE/APE,ADDEX PHARMACEUTICALS STOCK WKN A0MSH6 | ISIN CH0029850754 (APE) - Stuttgart
SSE/AR7B,ADDNODE STOCK WKN 925488 | ISIN SE0000472268 (AR7B) - Stuttgart
SSE/DDU,ADDVALUE TECHNOLOGIES STOCK WKN 502261 | ISIN SG1I67883666 (DDU) - Stuttgart
SSE/ACD,ADECOAGRO STOCK WKN A1H63F | ISIN LU0584671464 (ACD) - Stuttgart
SSE/ADI1,ADECCO STOCK WKN 922031 | ISIN CH0012138605 (ADI1) - Stuttgart
SSE/AYLA,Adept Technology Inc. (AYLA) - Stuttgart
SSE/AD3,ADERANS CO LTD NPV STOCK WKN 880529 | ISIN JP3121600005 (AD3) - Frankfurt
SSE/RV4,ADHEREX TECHNOLOGIES (RV4) - Stuttgart
SSE/KM6,ADHI KARYA PRESERO STOCK WKN A0B9TP | ISIN ID1000097207 (KM6) - Stuttgart
SSE/ADN1,ADESSO STOCK WKN A0Z23Q | ISIN DE000A0Z23Q5 (ADN1) - Stuttgart
SSE/ADS,ADIDAS STOCK WKN A1EWWW | ISIN DE000A1EWWW0 (ADS) - Stuttgart
SSE/ADS1,ADIDAS ADR STOCK WKN A0MNCC | ISIN US00687A1079 (ADS1) - Stuttgart
SSE/V7N,ADITYA BRILA MINERALS STOCK WKN A0JL3D | ISIN AU000000ABY1 (V7N) - Stuttgart
SSE/AHS,ADMIRALTY RESOURCES STOCK WKN A0B9TU | ISIN AU000000ADY7 (AHS) - Stuttgart
SSE/ADD,ADLER MODEMARKTE STOCK WKN A1H8MU | ISIN DE000A1H8MU2 (ADD) - Stuttgart
SSE/FLN,Admiral Group Plc. (FLN) - Stuttgart
SSE/CY3B,Adamis Pharmaceuticals Corp. (CY3B) - Stuttgart
SSE/W7L,AEROPORTS DE PARIS STOCK WKN A0J2WM | ISIN FR0010340141 (W7L) - Stuttgart
SSE/SZGA,SALZGITTER ADR STOCK WKN A1JMPE | ISIN US7958422021 (SZGA) - Stuttgart
SSE/A89,Adocia Sas Actions Port. Eo (A89) - Stuttgart
SSE/ADB,ADOBE SYSTEMS STOCK WKN 871981 | ISIN US00724F1012 (ADB) - Stuttgart
SSE/ADT,ADT CORP COM USD0.01 STOCK WKN A1J4DC | ISIN US00101J1060 (ADT) - NYSE
SSE/A7R,ADRIANA RESOURCES STOCK WKN A0F7EL | ISIN CA00735P1062 (A7R) - Stuttgart
SSE/ATN,Adtran Inc. (ATN) - Stuttgart
SSE/ABV,"ADVANCED BATTERY TECHNOLGOGIES STOCK
WKN A0D9Y5 | ISIN US00752H1023 (ABV) - Stuttgart"
SSE/T2N,ADVANCED CELL TECHNOLOGY (T2N) - Stuttgart
SSE/DVN1,Advanced Inflight Alliance Ag Inhaber-aktien (DVN1) - Stuttgart
SSE/ADV,ADVA OPTICAL NETWORKING STOCK WKN 510300 | ISIN DE0005103006 (ADV) - Stuttgart
