WPSD/ALB_DP_DOD_DECT_CR_GG_CD,001.General Govt. Public Sector Debt (PSDGG) US$ - Albania
WPSD/ALB_DP_DOD_DSDS_CR_GG_CD,"004.Debt securities (PSDGG, ST) US$ - Albania"
WPSD/ALB_DP_DOD_DSTC_CR_GG_CD,"002.Short-term by original maturity (PSDGG, ST) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_GG_CD,"008.Long-term, by original maturity (PSDGG, LT) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_L1_GG_CD,"009.With payment due in one year or less (PSDGG, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_L1_GG_CD,"012.Loans (PSDGG, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_M1_GG_CD,"015.With payment due in more than one year (PSDGG, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLCD_CR_M1_GG_CD,"017.Currency and deposits (PSDGG, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_L1_GG_CD,"011.Debt securities (PSDGG, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_M1_GG_CD,"018.Debt securities (PSDGG, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_M1_GG_CD,"019.Loans (PSDGG, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLCD_CR_GG_CD,023.Currency and deposits (PSDGG) US$ - Albania
WPSD/ALB_DP_DOD_DLDS_CR_GG_CD,024.Debt securities (PSDGG) US$ - Albania
WPSD/ALB_DP_DOD_DLLO_CR_GG_CD,025.Loans (PSDGG) US$ - Albania
WPSD/ALB_DP_DOD_DECD_CR_GG_CD,"028.General Govt. Public Sector Debt, Domestic creditors US$ - Albania"
WPSD/ALB_DP_DOD_DECX_CR_GG_CD,"029.General Govt. Public Sector Debt, External creditors US$ - Albania"
WPSD/ALB_DP_DOD_DECN_CR_GG_CD,"030.General Govt. Public Sector Debt, Domestic currency US$ - Albania"
WPSD/ALB_DP_DOD_DECF_CR_GG_CD,"031.General Govt. Public Sector Debt, Foreign currency US$ - Albania"
WPSD/ALB_DP_DOD_DECT_CR_CG_CD,033.Gross Central Government Debt (PSDCG) US$ - Albania
WPSD/ALB_DP_DOD_DSTC_CR_CG_CD,"034.Short-term by original maturity (PSDCG, ST) US$ - Albania"
WPSD/ALB_DP_DOD_DSDS_CR_CG_CD,"036.Debt securities (PSDCG, ST) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_CG_CD,"040.Long-term, by original maturity (PSDCG, LT) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_L1_CG_CD,"043.Debt securities (PSDCG, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_L1_CG_CD,"041.With payment due in one year or less (PSDCG, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_L1_CG_CD,"044.Loans (PSDCG, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_M1_CG_CD,"047.With payment due in more than one year (PSDCG, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_M1_CG_CD,"050.Debt securities (PSDCG, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_M1_CG_CD,"051.Loans (PSDCG, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_CG_CD,056.Debt securities (PSDCG) US$ - Albania
WPSD/ALB_DP_DOD_DLLO_CR_CG_CD,057.Loans (PSDCG) US$ - Albania
WPSD/ALB_DP_DOD_DECX_CR_CG_CD,"061.Central Govt. Public Sector Debt, External creditors US$ - Albania"
WPSD/ALB_DP_DOD_DECD_CR_CG_CD,"060.Central Govt. Public Sector Debt, Domestic creditors US$ - Albania"
WPSD/ALB_DP_DOD_DECT_CR_FC_CD,129.Gross Financial Public Corporations Debt (PSDFPC) US$ - Albania
WPSD/ALB_DP_DOD_DECN_CR_CG_CD,"062.Central Govt. Public Sector Debt, Domestic currency US$ - Albania"
WPSD/ALB_DP_DOD_DECF_CR_CG_CD,"063.Central Govt. Public Sector Debt, Foreign currency US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_FC_CD,"136.Long-term, by original maturity (PSDFPC, LT) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_L1_FC_CD,"137.With payment due in one year or less (PSDFPC, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_L1_FC_CD,"140.Loans (PSDFPC, LT, <1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_M1_FC_CD,"143.With payment due in more than one year (PSDFPC, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLSD_CR_M1_FC_CD,"144.Special Drawing Rights (SDRs) (PSDFPC, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_M1_FC_CD,"147.Loans (PSDFPC, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLSD_CR_FC_CD,150.Special Drawing Rights (SDRs) (PSDFPC) US$ - Albania
WPSD/ALB_DP_DOD_DLLO_CR_FC_CD,153.Loans (PSDFPC) US$ - Albania
WPSD/ALB_DP_DOD_DECF_CR_FC_CD,"159.Gross Financial Public Corporations Debt, Foreign currency  US$ - Albania"
WPSD/ALB_DP_DOD_DECX_CR_FC_CD,"157.Gross Financial Public Corporations Debt, External creditors  US$ - Albania"
WPSD/ALB_DP_DOD_DECT_CR_PS_CD,161.Gross Public Sector Debt (PSDT) US$ - Albania
WPSD/ALB_DP_DOD_DSDS_CR_PS_CD,"164.Debt securities (PSDT, ST) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_PS_CD,"168.Long-term, by original maturity (PSDT, LT) US$ - Albania"
WPSD/ALB_DP_DOD_DSTC_CR_PS_CD,"162.Short-term by original maturity (PSDT, ST) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_L1_PS_CD,"169.With payment due in one year or less (PSDT, LT,<1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_L1_PS_CD,"171.Debt securities (PSDT, LT,<1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLTC_CR_M1_PS_CD,"175.With payment due in more than one year (PSDT, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_L1_PS_CD,"172.Loans (PSDT, LT,<1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLSD_CR_M1_PS_CD,"176.Special Drawing Rights (SDRs) (PSDT, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_M1_PS_CD,"178.Debt securities (PSDT, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLSD_CR_PS_CD,182.Special Drawing Rights (SDRs) (PSDT) US$ - Albania
WPSD/ALB_DP_DOD_DLLO_CR_M1_PS_CD,"179.Loans (PSDT, LT, >1yr) US$ - Albania"
WPSD/ALB_DP_DOD_DLDS_CR_PS_CD,184.Debt securities (PSDT) US$ - Albania
WPSD/ALB_DP_DOD_DECD_CR_PS_CD,"188.Gross Public Sector Debt, Domestic creditors  US$ - Albania"
WPSD/ALB_DP_DOD_DLLO_CR_PS_CD,185.Loans (PSDT) US$ - Albania
WPSD/ALB_DP_DOD_DECX_CR_PS_CD,"189.Gross Public Sector Debt, External creditors  US$ - Albania"
WPSD/ALB_DP_DOD_DECN_CR_PS_CD,"190.Gross Public Sector Debt, Domestic currency  US$ - Albania"
WPSD/ALB_DP_DOD_DECF_CR_PS_CD,"191.Gross Public Sector Debt, Foreign currency  US$ - Albania"
WPSD/ARG_DP_DOD_DECT_CR_CG_CD,033.Gross Central Government Debt (PSDCG) US$ - Argentina
WPSD/ARG_DP_DOD_DSDS_CR_CG_CD,"036.Debt securities (PSDCG, ST) US$ - Argentina"
WPSD/ARG_DP_DOD_DSTC_CR_CG_CD,"034.Short-term by original maturity (PSDCG, ST) US$ - Argentina"
WPSD/ARG_DP_DOD_DSLO_CR_CG_CD,"037.Loans (PSDCG, ST) US$ - Argentina"
WPSD/ARG_DP_DOD_DLTC_CR_CG_CD,"040.Long-term, by original maturity (PSDCG, LT) US$ - Argentina"
WPSD/ARG_DP_DOD_DLTC_CR_L1_CG_CD,"041.With payment due in one year or less (PSDCG, LT, <1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLDS_CR_L1_CG_CD,"043.Debt securities (PSDCG, LT, <1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLLO_CR_L1_CG_CD,"044.Loans (PSDCG, LT, <1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLTC_CR_M1_CG_CD,"047.With payment due in more than one year (PSDCG, LT, >1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLDS_CR_M1_CG_CD,"050.Debt securities (PSDCG, LT, >1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLLO_CR_M1_CG_CD,"051.Loans (PSDCG, LT, >1yr) US$ - Argentina"
WPSD/ARG_DP_DOD_DLLO_CR_CG_CD,057.Loans (PSDCG) US$ - Argentina
