WWGI/ABW_CC_EST,Control of Corruption; Estimate - Aruba
WWGI/ABW_CC_NO_SRC,Control of Corruption; Number of Sources - Aruba
WWGI/ABW_CC_PER_RNK,Control of Corruption; Percentile Rank - Aruba
WWGI/ABW_GE_EST,Government Effectiveness; Estimate - Aruba
WWGI/ABW_GE_NO_SRC,Government Effectiveness; Number of Sources - Aruba
WWGI/ABW_GE_PER_RNK,Government Effectiveness; Percentile Rank - Aruba
WWGI/ABW_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Aruba
WWGI/ABW_GE_STD_ERR,Government Effectiveness; Standard Error - Aruba
WWGI/ABW_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Aruba
WWGI/ABW_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Aruba
WWGI/ABW_RQ_EST,Regulatory Quality; Estimate - Aruba
WWGI/ABW_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Aruba
WWGI/ABW_RQ_NO_SRC,Regulatory Quality; Number of Sources - Aruba
WWGI/ABW_CC_STD_ERR,Control of Corruption; Standard Error - Aruba
WWGI/ABW_RQ_STD_ERR,Regulatory Quality; Standard Error - Aruba
WWGI/ABW_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Aruba
WWGI/ABW_RL_NO_SRC,Rule of Law; Number of Sources - Aruba
WWGI/ABW_RL_EST,Rule of Law; Estimate - Aruba
WWGI/ABW_RL_PER_RNK,Rule of Law; Percentile Rank - Aruba
WWGI/ABW_RL_STD_ERR,Rule of Law; Standard Error - Aruba
WWGI/ABW_VA_NO_SRC,Voice and Accountability; Number of Sources - Aruba
WWGI/ABW_VA_EST,Voice and Accountability; Estimate - Aruba
WWGI/ABW_VA_PER_RNK,Voice and Accountability; Percentile Rank - Aruba
WWGI/AFG_CC_EST,Control of Corruption; Estimate - Afghanistan
WWGI/ABW_VA_STD_ERR,Voice and Accountability; Standard Error - Aruba
WWGI/AFG_CC_NO_SRC,Control of Corruption; Number of Sources - Afghanistan
WWGI/AFG_CC_PER_RNK,Control of Corruption; Percentile Rank - Afghanistan
WWGI/AFG_CC_STD_ERR,Control of Corruption; Standard Error - Afghanistan
WWGI/AFG_GE_EST,Government Effectiveness; Estimate - Afghanistan
WWGI/AFG_GE_NO_SRC,Government Effectiveness; Number of Sources - Afghanistan
WWGI/AFG_GE_PER_RNK,Government Effectiveness; Percentile Rank - Afghanistan
WWGI/AFG_GE_STD_ERR,Government Effectiveness; Standard Error - Afghanistan
WWGI/AFG_PV_PER_RNK,Political Stability and Absence of Violence/Terrorism; Percentile Rank - Afghanistan
WWGI/AFG_PV_NO_SRC,Political Stability and Absence of Violence/Terrorism; Number of Sources - Afghanistan
WWGI/AFG_PV_STD_ERR,Political Stability and Absence of Violence/Terrorism; Standard Error - Afghanistan
WWGI/AFG_PV_EST,Political Stability and Absence of Violence/Terrorism; Estimate - Afghanistan
WWGI/AFG_RQ_EST,Regulatory Quality; Estimate - Afghanistan
WWGI/AFG_RQ_NO_SRC,Regulatory Quality; Number of Sources - Afghanistan
WWGI/AFG_RQ_PER_RNK,Regulatory Quality; Percentile Rank - Afghanistan
WWGI/AFG_RL_EST,Rule of Law; Estimate - Afghanistan
